sample,box_id,destination,qr_decode_method,valid_parcel,detection_count,best_confidence,yaw_deg,measured_long_mm,measured_short_mm,reference_long_mm,reference_short_mm,abs_error_long_mm,abs_error_short_mm
1,BOX-01,A,raw,1,1,0.9424567818641663,-2.414656400680542,198.5970490578285,146.03161244965634,200.0,145.0,1.4029509421714863,1.0316124496563361
2,BOX-01,A,gray,1,2,0.9147852063179016,44.38658142089844,198.3165401253036,146.24140699784525,200.0,145.0,1.6834598746964105,1.241406997845246
3,BOX-01,A,raw,1,1,0.9575872421264648,-26.40998649597168,198.7042079608355,145.95178234829362,200.0,145.0,1.2957920391644961,0.9517823482936194
