epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,1304.94,0.63618,0.44018,1.17348,0.02083,0.94402,0.91081,0.95491,0.8466,0.46661,0.34942,1.06145,0.00949,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1350.59,0.63801,0.44088,1.17418,0.02074,0.93908,0.90955,0.95428,0.84514,0.45947,0.34582,1.06589,0.00923,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1396.12,0.63329,0.43713,1.1685,0.02084,0.94293,0.90693,0.95467,0.84767,0.45759,0.34214,1.06381,0.00976,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1441.75,0.62809,0.43312,1.16094,0.02034,0.94087,0.90507,0.95497,0.848,0.45736,0.34452,1.057,0.00986,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1487.35,0.62779,0.43324,1.16384,0.02016,0.94731,0.90649,0.95672,0.84911,0.4551,0.34145,1.05657,0.01003,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1532.95,0.62204,0.42807,1.15935,0.01996,0.94431,0.90442,0.95687,0.84823,0.45043,0.3382,1.06777,0.00914,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1578.48,0.62287,0.42993,1.16078,0.01967,0.94386,0.90623,0.95514,0.84847,0.44808,0.33686,1.05338,0.00937,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1624.03,0.61601,0.42505,1.15272,0.01935,0.94144,0.91032,0.95683,0.85374,0.4428,0.32925,1.04909,0.00934,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1669.64,0.62148,0.42634,1.1604,0.01964,0.94569,0.90486,0.95734,0.85484,0.44236,0.33052,1.05462,0.00851,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1715.25,0.61601,0.4226,1.15156,0.01922,0.95072,0.90518,0.95517,0.85058,0.44192,0.33268,1.04498,0.00936,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1760.76,0.61262,0.41993,1.14922,0.01895,0.95015,0.90468,0.95746,0.8533,0.44331,0.32953,1.04613,0.00895,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1806.33,0.61198,0.42117,1.14905,0.01871,0.94959,0.91031,0.95784,0.8536,0.43972,0.32092,1.04185,0.00882,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1851.85,0.60919,0.41676,1.14864,0.01886,0.94292,0.91009,0.95045,0.85282,0.44001,0.32365,1.04294,0.00959,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1897.48,0.60919,0.41684,1.14848,0.01844,0.94318,0.91108,0.95708,0.85196,0.44406,0.32416,1.04929,0.00939,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1943.02,0.60726,0.41647,1.14292,0.01859,0.94865,0.90507,0.9563,0.84902,0.44836,0.33016,1.05527,0.00915,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1988.63,0.60419,0.41209,1.14084,0.01836,0.94098,0.91358,0.95684,0.85311,0.43656,0.32538,1.0449,0.00887,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2034.23,0.60084,0.41091,1.13865,0.01812,0.95496,0.90922,0.95733,0.85586,0.43458,0.32007,1.04629,0.00848,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2079.83,0.59898,0.409,1.13883,0.01781,0.94784,0.91435,0.95909,0.85848,0.43449,0.31224,1.04758,0.00819,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2125.25,0.59944,0.40787,1.13689,0.0181,0.94727,0.91009,0.95574,0.85352,0.43281,0.3174,1.04437,0.00832,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2170.84,0.59825,0.40776,1.13819,0.01787,0.93862,0.91598,0.9566,0.85312,0.44263,0.32042,1.05167,0.00925,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2216.4,0.59303,0.40466,1.13323,0.01766,0.94422,0.91631,0.94999,0.853,0.43819,0.32106,1.05201,0.00829,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2262,0.59111,0.40198,1.1303,0.01746,0.95346,0.90983,0.95853,0.85834,0.42862,0.31419,1.04772,0.00841,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2307.57,0.59266,0.40209,1.13014,0.01727,0.95756,0.90507,0.95876,0.85794,0.43091,0.31175,1.03677,0.00797,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
